Zaman damgası,  Yaşınız   ,  Cinsiyetiniz ,  En çok dinlediğiniz müzik türü  ,Müzikte cinsiyetçi söylemlerin toplum üzerinde etkili olduğunu düşünüyorum.  ,Şarkılarda kadınların aşağılanmasını rahatsız edici buluyorum.  ,Şarkı sözleri insanların kadınlara bakışını etkileyebilir.  ,Ünlülerin söylemleri/davranışları hayranları etkileyebilir.  ,Müziğin kadın düşmanlığını normalleştirdiğini düşünüyorum.  ,"Söz 1:  ""Manita baya kasvetli
O vücuduyla beni hapsetti
""Tek gecelik, bi' daha olmaz"" diyince
Ben de dayanamadım, gasp ettim"" - B4TU INC
Sizce bu ifade tacizi normalleştiriyor mu?  ","Söz 2: ""Taktım beşe, çıktım E5'e (E5)
E5'te bi' bayan dedi ""Bana dayan"" (Oo)
Dayandım, dayandım, davada uyandım
Hâkim dedi ""Ne iş?"", ben dedim ""S*k*ş"" -Ravend
Sizce bu ifade tacizi normalleştiriyor mu?  ","Söz 3: ""Elon Musk değilim ama 
k*ltağı sürüyo'm sanki bi' Tesla""
""Sanırım bastım karına
Pasladım onu agalarıma"" -DEHA INC
Sizce bu ifade kadını nesneleştiriyor mu?  ","Söz 4: ""S*rtüğe bak (bak, bak)
S*rtüğe bak (bak, bak)
İstiyo beni (istiyo o)
O s*rtüğe bak (s*rtüğe bak)"" -Khontkar
Sizce bu ifade kadını nesneleştiriyor mu?  ","Söz 5: ""S*rtük göz kamaştırır
Arkadaşıyla tanıştırır
Beni iyi araştırır
Yanına beni yaraştırır"" -Reckol
Sizce bu ifade kadını nesneleştiriyor mu?  ","Söz 6: ""Ketojenik or*spular, s*kim bi' kahvaltı""
""Spiritüel or*spular revaçta ve erimiyo
Adamımın k*ltağıyım, inemiyo'm"" -EGE! & Lil Zey
Sizce bu ifade kadını nesneleştiriyor mu?  ","Söz 7: "" Rüyalarımdasın sen yatağında uyurken (Slatt)
S*ktim seni, attım otoban kenarına
Yaptım hatunun saçından Voodoo oyuncağı"" -13Killoki & Qimp
Sizce bu ifade tacizi normalleştiriyor mu?  ","Söz 8: ""S*rtük taş gibi
Osman dedi bildiğim şeyleri
Yalamaya başla, en sevdiğim laflar
Yeni drip, bunları sevdin mi abla?  "" -SWIRF & yungcihad
Sizce bu ifade kadını nesneleştiriyor mu?  ","Söz 9: ""Görüyorsun yanımda motor gibi manitayı (manitayı)"" -Keişan & Anıl Piyancı
Sizce bu ifade kadını nesneleştiriyor mu?  ","Söz 10: ""Adı Katarina, verdim tam arasına
Dedi, ""Lütfen tekrar gel ara sıra""
""Tanıştım Bebek'te, adı Natasha
Dedim, ""Uzatma bebek, yat aşa'"" -Era7capone & Batuflex & Narco
Sizce bu ifade kadını nesneleştiriyor mu?  ",Günlük hayatta kadın düşmanlığına sık rastladığımı düşünüyorum.,Cinsiyetçi müzik dinleyen kişilerin bu söylemleri ilişkilerine yansıttığını gözlemledim.  ,"Sizce müzik platformları (Spotify, YouTube vb.) bu tarz içerikleri filtrelemeli midir?  ", Bugüne kadar dinlediğiniz şarkılarda kadın düşmanlığı fark ettiniz mi?  ,Şarkılardaki cinsiyetçi söylemlere karşı daha fazla farkındalık oluşturulması gerektiğini düşünüyorum.  ,  Bu konuda bir proje/çalışma yapılmasının önemli olduğunu düşünüyorum.  ,Cinsiyetçi sözler içeren şarkıları dinlemeyi bırakırım.,Şiddet içerikli sözler normalleştirici etki yaratıyor.  
30.11.2025 17:23:18,19-24,Kadın,Pop,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Emin değilim.,Emin değilim.,Emin değilim.,Evet.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:23:33,19-24,Erkek,Çoğu türü dinliyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kararsızım.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Hayır.,Emin değilim.,Emin değilim.,Dikkat etmedim.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.
30.11.2025 17:24:18,19-24,Erkek,Rap/Hip-hop,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.,Kararsızım.,Kesinlikle katılıyorum.,Kararsızım.,Katılmıyorum.,Katılmıyorum.,Katılmıyorum.,Katılmıyorum.,Katılmıyorum.,Katılmıyorum.,Katılmıyorum.,Kararsızım.,Katılmıyorum.,Katılmıyorum.,Hayır.,Hayır.,Hayır.,Evet.,Katılmıyorum.,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:24:24,15-18,Kadın,Rap/Hip-hop,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kararsızım.,Kararsızım.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kararsızım.,Kesinlikle katılıyorum.,Evet.,Emin değilim.,Evet.,Evet.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:24:41,15-18,Kadın,Rap/Hip-hop,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Evet.,Evet.,Evet.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:24:57,19-24,Kadın,Diğer,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Evet.,Evet.,Evet.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:25:07,19-24,Erkek,Rock/Metal,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kararsızım.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Hayır.,Evet.,Evet.,Evet.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.
30.11.2025 17:25:20,19-24,Kadın,Pop,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Evet.,Evet.,Evet.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:25:42,19-24,Kadın,Rock/Metal,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Evet.,Emin değilim.,Evet.,Hayır.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:25:52,19-24,Erkek,Çoğu türü dinliyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kararsızım.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kararsızım.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kararsızım.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kararsızım.,Kesinlikle katılıyorum.,Evet.,Hayır.,Emin değilim.,Evet.,Katılıyorum.,Katılıyorum.,Kararsızım.,Kararsızım.
30.11.2025 17:25:55,15-18,Erkek,Çoğu türü dinliyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kararsızım.,Kesinlikle katılıyorum.,Kesinlikle katılmıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Emin değilim.,Emin değilim.,Evet.,Dikkat etmedim.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:26:19,25-34,Kadın,Rock/Metal,Kararsızım.,Katılıyorum.,Katılmıyorum.,Katılmıyorum.,Kararsızım.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Hayır.,Hayır.,Evet.,Dikkat etmedim.,Kararsızım.,Kararsızım.,Kararsızım.,Katılmıyorum.
30.11.2025 17:26:23,19-24,Kadın,Pop,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Evet.,Evet.,Evet.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:26:39,35+,Erkek,Çoğu türü dinliyorum.,Kararsızım.,Kararsızım.,Kararsızım.,Katılıyorum.,Kararsızım.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Emin değilim.,Emin değilim.,Evet.,Evet.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.
30.11.2025 17:26:50,19-24,Erkek,Türk Halk Müziği,Kararsızım.,Kesinlikle katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kararsızım.,Kararsızım.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kararsızım.,Hayır.,Emin değilim.,Evet.,Dikkat etmedim.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:27:26,19-24,Erkek,Rap/Hip-hop,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Kararsızım.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılmıyorum.,Katılıyorum.,Hayır.,Hayır.,Hayır.,Hayır.,Kararsızım.,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.
30.11.2025 17:27:37,19-24,Erkek,Rap/Hip-hop,Kararsızım.,Katılıyorum.,Katılmıyorum.,Katılıyorum.,Katılmıyorum.,Katılıyorum.,Kesinlikle katılmıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Katılmıyorum.,Kesinlikle katılmıyorum.,Evet.,Emin değilim.,Hayır.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kararsızım.,Kesinlikle katılmıyorum.
30.11.2025 17:27:53,15-18,Erkek,Pop,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Hayır.,Hayır.,Evet.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Katılıyorum.
30.11.2025 17:27:53,19-24,Erkek,Çoğu türü dinliyorum.,Kararsızım.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Hayır.,Evet.,Hayır.,Dikkat etmedim.,Kesinlikle katılıyorum.,Katılıyorum.,Kararsızım.,Katılıyorum.
30.11.2025 17:28:45,15-18,Kadın,Çoğu türü dinliyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Emin değilim.,Emin değilim.,Evet.,Evet.,Kesinlikle katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.
30.11.2025 17:29:18,35+,Kadın,Türk Halk Müziği,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Evet.,Evet.,Evet.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:29:25,15-18,Erkek,Rock/Metal,Katılıyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Katılmıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kararsızım.,Kararsızım.,Kesinlikle katılıyorum.,Katılıyorum.,Katılmıyorum.,Kesinlikle katılıyorum.,Hayır.,Hayır.,Hayır.,Dikkat etmedim.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılmıyorum.
30.11.2025 17:29:51,19-24,Kadın,Pop,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Evet.,Emin değilim.,Evet.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:30:27,19-24,Erkek,Çoğu türü dinliyorum.,Kesinlikle katılıyorum.,Katılmıyorum.,Katılmıyorum.,Katılıyorum.,Katılmıyorum.,Kesinlikle katılmıyorum.,Katılmıyorum.,Kararsızım.,Kesinlikle katılıyorum.,Katılmıyorum.,Katılmıyorum.,Katılmıyorum.,Katılmıyorum.,Katılmıyorum.,Katılmıyorum.,Hayır.,Hayır.,Hayır.,Hayır.,Katılmıyorum.,Katılmıyorum.,Katılmıyorum.,Katılmıyorum.
30.11.2025 17:30:42,15-18,Kadın,Pop,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Emin değilim.,Evet.,Evet.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:31:02,19-24,Erkek,Çoğu türü dinliyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Evet.,Emin değilim.,Emin değilim.,Evet.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:31:23,15-18,Belirtmek istemiyorum.,Çoğu türü dinliyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılmıyorum.,Katılmıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Evet.,Hayır.,Evet.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.
30.11.2025 17:31:40,15-18,Erkek,Rap/Hip-hop,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.,Evet.,Hayır.,Hayır.,Hayır.,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.
30.11.2025 17:31:43,15-18,Kadın,Çoğu türü dinliyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Emin değilim.,Emin değilim.,Emin değilim.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:32:17,19-24,Erkek,Diğer,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Hayır.,Evet.,Evet.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:33:12,19-24,Kadın,İndie/Alternatif,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Katılmıyorum.,Katılmıyorum.,Kesinlikle katılıyorum.,Katılmıyorum.,Katılmıyorum.,Katılmıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Hayır.,Hayır.,Hayır.,Hayır.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:34:10,19-24,Erkek,İndie/Alternatif,Kararsızım.,Katılıyorum.,Kararsızım.,Katılıyorum.,Katılmıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Kararsızım.,Katılıyorum.,Kararsızım.,Katılıyorum.,Katılıyorum.,Kararsızım.,Katılıyorum.,Hayır.,Emin değilim.,Hayır.,Evet.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:34:13,15-18,Erkek,Çoğu türü dinliyorum.,Katılmıyorum.,Katılıyorum.,Katılmıyorum.,Katılıyorum.,Katılmıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Hayır.,Emin değilim.,Evet.,Evet.,Katılıyorum.,Katılıyorum.,Kararsızım.,Katılıyorum.
30.11.2025 17:34:22,15-18,Kadın,Diğer,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Evet.,Evet.,Evet.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:35:04,15-18,Erkek,Rap/Hip-hop,Katılıyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Katılmıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Evet.,Evet.,Emin değilim.,Evet.,Kesinlikle katılıyorum.,Katılıyorum.,Kararsızım.,Katılıyorum.
30.11.2025 17:35:09,19-24,Kadın,Çoğu türü dinliyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Evet.,Evet.,Evet.,Evet.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:35:44,15-18,Erkek,Pop,Katılmıyorum.,Katılıyorum.,Katılmıyorum.,Katılmıyorum.,Kesinlikle katılmıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılmıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Hayır.,Hayır.,Emin değilim.,Dikkat etmedim.,Kararsızım.,Kararsızım.,Katılıyorum.,Katılmıyorum.
30.11.2025 17:36:03,19-24,Kadın,Çoğu türü dinliyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Katılıyorum.,Kararsızım.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Emin değilim.,Emin değilim.,Evet.,Hayır.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.
30.11.2025 17:36:31,19-24,Erkek,Rap/Hip-hop,Kesinlikle katılmıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılmıyorum.,Katılmıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Katılmıyorum.,Katılmıyorum.,Hayır.,Evet.,Hayır.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılmıyorum.,Kesinlikle katılmıyorum.,Katılıyorum.
30.11.2025 17:36:32,15-18,Kadın,Çoğu türü dinliyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Evet.,Evet.,Evet.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
30.11.2025 17:36:38,19-24,Erkek,Arabesk,Katılıyorum.,Kesinlikle katılıyorum.,Katılıyorum.,Katılıyorum.,Katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kararsızım.,Kesinlikle katılıyorum.,Hayır.,Emin değilim.,Evet.,Evet.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.,Kesinlikle katılıyorum.
